iter	Passed	Remaining
0	1	972
1	3	984
2	5	975
3	7	982
4	9	972
5	11	977
6	14	998
7	16	1002
8	18	999
9	20	989
10	22	980
11	23	972
12	25	962
13	27	957
14	29	961
15	31	939
16	32	933
17	34	929
18	36	928
19	38	927
20	40	927
21	42	924
22	44	924
23	46	925
24	48	926
25	50	925
26	52	922
27	54	920
28	56	916
29	58	913
30	60	912
31	62	914
32	64	912
33	66	910
34	68	906
35	69	900
36	71	896
37	73	891
38	75	887
39	77	889
40	79	886
41	80	882
42	82	877
43	84	873
44	85	868
45	87	864
46	89	861
47	91	857
48	93	858
49	95	856
50	96	853
51	98	850
52	100	847
53	102	844
54	104	843
55	106	841
56	108	839
57	110	842
58	112	842
59	114	840
60	116	838
61	118	835
62	120	833
63	121	829
64	123	827
65	125	826
66	139	902
67	141	901
68	143	898
69	145	894
70	147	890
71	149	887
72	151	884
73	152	880
74	154	877
75	156	873
76	158	873
77	161	871
78	162	868
79	164	865
80	166	862
81	168	858
82	170	855
83	172	852
84	174	850
85	175	847
86	177	843
87	179	838
88	180	834
89	182	831
90	184	829
91	186	827
92	188	824
93	190	823
94	192	822
95	194	819
96	196	816
97	198	814
98	200	811
99	202	808
100	204	806
101	206	804
102	208	803
103	210	801
104	212	799
105	214	796
106	216	793
107	217	790
108	219	787
109	221	785
110	223	784
111	226	783
112	227	779
113	229	777
114	231	774
115	233	771
116	235	769
117	236	766
118	239	765
119	241	763
120	242	760
121	244	758
122	246	756
123	248	753
124	250	751
125	252	748
126	254	746
127	256	745
128	258	742
129	259	739
130	261	736
131	263	733
132	264	730
133	266	727
134	268	725
135	270	723
136	272	721
137	274	719
138	276	718
139	278	715
140	280	713
141	281	710
142	283	708
143	285	705
144	287	703
145	289	701
146	290	698
147	292	695
148	294	693
149	295	690
150	297	687
151	299	684
152	300	682
153	302	680
154	304	678
155	306	675
156	308	673
157	309	670
158	311	668
159	313	666
160	315	663
161	316	661
162	318	659
163	320	657
164	322	654
165	324	651
166	325	649
167	327	646
168	328	644
169	330	641
170	332	638
171	333	636
172	335	634
173	337	632
174	339	629
175	340	627
176	342	624
177	344	622
178	345	620
179	347	617
180	349	615
181	351	613
182	353	612
183	355	609
184	356	607
185	358	605
186	360	603
187	362	601
188	363	598
189	365	596
190	368	595
191	369	593
192	371	590
193	373	588
194	374	586
195	376	583
196	378	581
197	379	579
198	381	576
199	383	575
200	385	573
201	386	570
202	388	568
203	390	565
204	391	563
205	393	561
206	395	559
207	396	556
208	398	555
209	401	554
210	402	551
211	404	549
212	406	547
213	408	545
214	409	543
215	411	540
216	413	538
217	415	537
218	417	535
219	419	533
220	420	531
221	422	529
222	424	526
223	425	524
224	427	522
225	428	520
226	431	518
227	432	516
228	434	514
229	436	512
230	437	509
231	439	507
232	441	505
233	442	503
234	444	501
235	446	499
236	448	497
237	450	495
238	451	493
239	453	491
240	454	488
241	456	486
242	458	484
243	460	482
244	462	481
245	464	479
246	465	477
247	467	475
248	469	473
249	471	471
250	472	469
251	474	466
252	476	464
253	478	462
254	479	461
255	481	458
256	483	457
257	484	454
258	486	452
259	488	451
260	490	449
261	492	447
262	494	445
263	496	443
264	498	441
265	499	439
266	501	437
267	502	435
268	504	433
269	506	431
270	507	429
271	509	427
272	511	425
273	513	423
274	515	421
275	516	419
276	518	417
277	520	415
278	521	413
279	523	411
280	525	409
281	527	407
282	529	405
283	530	403
284	532	401
285	534	399
286	535	397
287	537	395
288	539	393
289	540	391
290	542	389
291	544	387
292	546	385
293	547	383
294	549	381
295	550	379
296	552	377
297	554	375
298	555	373
299	557	371
300	559	370
301	561	368
302	563	366
303	564	364
304	566	362
305	568	360
306	569	358
307	571	356
308	573	354
309	575	352
310	576	350
311	578	348
312	580	346
313	582	344
314	583	342
315	585	340
316	586	338
317	588	336
318	590	335
319	592	333
320	594	331
321	595	329
322	597	327
323	599	325
324	600	323
325	602	321
326	604	319
327	606	318
328	608	316
329	609	314
330	611	312
331	613	310
332	615	308
333	616	306
334	618	304
335	619	302
336	621	300
337	623	298
338	625	296
339	626	294
340	628	293
341	630	291
342	631	289
343	633	287
344	634	285
345	636	283
346	638	281
347	640	279
348	641	277
349	643	275
350	644	273
351	646	271
352	647	269
353	649	267
354	651	265
355	653	264
356	655	262
357	656	260
358	658	258
359	660	256
360	661	254
361	663	252
362	665	251
363	667	249
364	668	247
365	670	245
366	672	243
367	673	241
368	675	239
369	677	238
370	679	236
371	680	234
372	682	232
373	684	230
374	686	228
375	688	227
376	690	225
377	692	223
378	693	221
379	695	219
380	697	217
381	698	215
382	700	213
383	702	212
384	704	210
385	705	208
386	707	206
387	709	204
388	710	202
389	712	200
390	714	199
391	715	197
392	717	195
393	719	193
394	721	191
395	722	189
396	724	187
397	726	186
398	727	184
399	729	182
400	730	180
401	732	178
402	734	176
403	736	174
404	737	173
405	739	171
406	741	169
407	742	167
408	744	165
409	746	163
410	747	161
411	749	160
412	751	158
413	753	156
414	754	154
415	756	152
416	758	150
417	760	149
418	761	147
419	763	145
420	765	143
421	767	141
422	769	140
423	770	138
424	772	136
425	773	134
426	775	132
427	777	130
428	778	128
429	780	127
430	782	125
431	784	123
432	785	121
433	787	119
434	789	117
435	790	116
436	792	114
437	793	112
438	795	110
439	797	108
440	799	106
441	800	105
442	802	103
443	804	101
444	805	99
445	807	97
446	808	95
447	810	94
448	812	92
449	813	90
450	815	88
451	817	86
452	819	84
453	820	83
454	822	81
455	823	79
456	825	77
457	826	75
458	828	74
459	830	72
460	832	70
461	833	68
462	835	66
463	836	64
464	838	63
465	840	61
466	841	59
467	843	57
468	845	55
469	847	54
470	848	52
471	850	50
472	852	48
473	853	46
474	855	45
475	856	43
476	858	41
477	859	39
478	861	37
479	863	35
480	864	34
481	866	32
482	868	30
483	869	28
484	871	26
485	872	25
486	874	23
487	876	21
488	877	19
489	879	17
490	881	16
491	882	14
492	884	12
493	886	10
494	887	8
495	889	7
496	890	5
497	892	3
498	894	1
499	896	0
